date,note,texte,source,Catégorie,Catégorie_secondaire,Gravité
2026-01-18 19:24:22+00:00,3,Trop de point sur la carte,Google Play,Autre,,Basse
2026-01-18 11:45:40+00:00,2,je n'arrive pas à me connecter sur Android ( nouveau) d'avoir calendrier et autres paramètres,Google Play,Annulation / Réservation,,Haute
2026-01-17 12:12:33+00:00,5,bonjours je voudrait louer maison residense picine saint marie de la mer Perpignan,Google Play,Qualité du bien,,Basse
2026-01-17 01:14:01+00:00,5,excellente,Google Play,Bug Technique,,Basse
2026-01-16 12:56:29+00:00,1,"Service client incompétent. Cela fait plusieurs années que je passe par Abritel pour louer ma maison et j’ai eu quelques déconvenues sans parler de leurs tarifs qui ont augmenté de manière importante. Cette année, mon annonce n’apparaît plus en ligne. Cela fait maintenant plusieurs jours que l’assistance en ligne me dit que le dossier a été transmis au service concerné et qu’ils ne peuvent pas faire mieux mais rien ne se passe.
En revanche, le tarif de 349 euros pour l’abonnement a bien été débité et mon abonnement commence bien depuis le 5 Janvier. Il est bien évidemment impossible de joindre un responsable.
Pendant ce temps là, je perds des vacanciers potentiels….. les frais sont élevés pour les propriétaires comme pour les locataires mais le service rendu est bien en dessous de ce qu’il devrait être !!!!!!
J’ai eu au téléphone des personnes qui ne savent rien me dire d’autre si ce n’est présenter des excuses et me dire que mon dossier a bien été transféré !!!!!
Je pense sérieusement à changer de site même si cela signifierait de perdre mon historique des avis. J’invite en tout cas tout ceux qui n’ont pas encore commencé à déposer des annonces à changer de prestataire !!!!!!",Trustpilot,Localisation / Langue,Financier,Haute
2026-01-16 11:30:37+00:00,4,a voir,Google Play,Autre,,Basse
2026-01-15 16:11:56+00:00,1,appli 0 pour les hebergeurs,Google Play,Autre,,Haute
2026-01-15 10:55:07+00:00,1,"L'hôte à refusé mon logement prévu du 3…. L'hôte à refusé mon logement prévu du 3 au 10 Janvier, à Tenerife.
Quelques temps après je recherche un logement sur airbnb pour pas être sans rien je le réserve et sur Abritel ils me reconfirment finalement la réservation 10 jours avant le voyage. Je n'ai même pas eu le temps de me rétracter et d'avoir un remboursement",Trustpilot,Financier,Qualité du bien,Haute
2026-01-14 15:53:53+00:00,4,application intuitive mais qui demande tout de même pour retrouver des recherches quelques gymnastiques pas toujours spontanées !!!,Google Play,Autre,,Basse
2026-01-14 12:17:48+00:00,1,"N'espérez pas de suivi en cas de mauvaise surprise. Suite à la réservation d'un appartement à STRASBOURG fin décembre, nous avons eu la désagréable surprise de trouver un logement qui ne correspondait ni à la description de l'annonce ni aux normes et encore moins aux politiques telles que détaillées sur le site abritel...
Alors que nous avons contracté avec l'enseigne via une plate-forme en français (En france de surcroit), nous avons été en contact avec leur plate-forme Américaine. Difficile de se faire comprendre et entendre.
Aucun suivi, retour et prise en compte du dédommagement.
Après une première tentative infructueuse de diffuser un avis négatif sur le logement (pourtant respectueux de la politique du groupe) , on se sait pas si la seconde a bien été prise en compte. Une relance via le chabot et comme par hasard au bout de quelques échanges, retournement de situation, il n'est plus possible de communiquer sur la réservation réalisée...
Pour ma part, je n'utiliserai désormais plus cette plateforme dont le nom pourrait faire penser à une plateforme française et qui n'est qu'un leurre. Dommage",Trustpilot,Localisation / Langue,Service Client,Haute
2026-01-13 19:32:59+00:00,2,"Mauvais Sav. Impossible de payer le deuxième règlement de la location sur l’appli malgré plusieurs tentatives, avec des cartes de paiement différentes. L’assistance par chat ne fournit aucune aide valable. Galère sans nom! Ce sera une autre agence les prochaines fois",App Store,Financier,Service Client,Haute
2026-01-13 17:42:50+00:00,1,"catastrophique, vraiment pas ludique",Google Play,UX / Ergonomie,,Haute
2026-01-13 13:48:08+00:00,4,pratique d utilisation,Google Play,Autre,,Basse
2026-01-13 08:47:12+00:00,1,Totalement naze. Indique des disponibilités qui n’existent pas et nous prélèvent pour ne rembourser que 3 semaines après ! Honteux,App Store,Annulation / Réservation,Financier,Haute
2026-01-12 17:47:15+00:00,1,Paiement bloqué d'un séjour deja…. Paiement bloqué d'un séjour deja effectué   pour le propriétaire sur le site VRBO (ABRITEL) sans pouvoir depuis plusieurs mois apporter l information requise pour le débloquer car la page mouline ( J avais pu avoir une assitance qui m'avait dit que ca allait prendre du temps pour ouvrir la page... le probleme sur le site ABRITEL est donc connu . Depuis plus de possibilité d assistance mais des rubrique à remplir en anglais sur VRBO   Un cauchemar !,Trustpilot,Localisation / Langue,Financier,Haute
2026-01-12 15:55:57+00:00,5,"C'est un bon, voire très bon rapport qualité prix, compte tenu des prix exorbitants dans le secteur. L'appartement est conforme à la description : petit, mais très propre et bien placé, à 5min de tout. Nous aurions apprécié un peu plus de choses pour cuisiner : un couvercle pour la cuisson en casserole, du sel/poivre et de l'huile pour les voyageurs qui arrivent après 21h, une machine à raclette :) Il n'y a pas de tv non plus.",Google Play,Financier,Qualité du bien,Basse
2026-01-12 12:04:21+00:00,5,offres sincères en géneral,Google Play,Autre,,Basse
2026-01-11 16:01:53+00:00,1,"Faux affichage tarifaire. Le prix affiché était de 1980 €, les demandent de paiement portaient sur ce montant (par carte), le prix finalement demandé par le propriétaire était de 1000€ supplémentaire, avec une forte instance à régler immédiatement.
Sans explication autre qu'une révision tarifaire.
Je n'ai jamais eu ceci sur d'autres sites de location",Trustpilot,Financier,Qualité du bien,Haute
2026-01-10 22:44:47+00:00,1,"une purge. je suis propriétaire et depuis la mise à jour, je tourne en rond sur le site internet. impossible de retrouver mon annonce, mon compte.",Google Play,Bug Technique,Qualité du bien,Haute
2026-01-10 10:00:36+00:00,2,"prix en nz$, impossible à changer",Google Play,Financier,,Haute
2026-01-09 18:56:02+00:00,5,que du bien,Google Play,Autre,,Basse
2026-01-09 15:30:09+00:00,1,"Réservation de 15j à Plazac Périgord…. Réservation de 15j à Plazac Périgord noir,  faite sur le site Abritel, suivant les tarifs indiqués. En fait, l’accord final est revenu à l’hôte qui a augmenté les tarifs sans raison apparente puisqu’il n’a pas daigné répondre à mes interrogations. 
Après contact avec Abritel, il s’avère que c’est « normal », que le propriétaire est en droit, donc j’en conclus un net manque de sérieux et de coordination de la part des 2 parties.
Abritel étant en première ligne pour la réservation, à lui d’imposer ses conditions. Visiblement ce n’est pas son premier souci.
Quant au propriétaire M.R., son comportement est signe de non respect du protocole de réservation avec Abritel !",Trustpilot,Financier,Service Client,Haute
2026-01-08 20:10:27+00:00,1,"Réservation location saisonnière…. Réservation location saisonnière fantôme, nous avons voyagé 6000 km avec 2 enfants pour arriver une maison qui étaient occupées. Le service client ne nous a proposé aucune solution. Le remboursement a été reçu que le jour du départ. J’ai  passé plus de 10 heures au téléphone avec le  service client. 
Il mon confirmé prendre en charge jusqu’à 250% du prix pour trouver une autre location. 
Mais à notre retour, rien. Déjà 2H42 au téléphone. Et toujours rien ! 
Attention, si vous parlez pas anglais ! 
En plus ils vous disent ok un jour avec un email et le lendemain ils reviennent sur leur proposition écrit. 
C’est un honte",Trustpilot,Localisation / Langue,Financier,Haute
2026-01-08 17:22:27+00:00,1,"Votre avis n’a pas été envoyé. Votre avis n’a pas été envoyé
 

Nous vous remercions de nous avoir fait part de votre avis. Malheureusement, il a besoin d’être retravaillé afin que nous puissions le publier sur notre site Internet. Vous trouverez ci-dessous la raison pour laquelle nous ne pouvons pas l’approuver pour le moment. Veuillez réviser votre avis afin qu’il soit conforme à nos directives de contenu, que vous pouvez consulter ici. Une fois votre avis révisé, vous pouvez l’envoyer à nouveau en cliquant sur le bouton ci-dessous.
 

Votre envoi comporte des commentaires trompeurs ou inexacts.

Lire les directives de contenu
 
Votre avis
GITE DE CHARME DANS LE PARC NATUREL REGIONAL DU MORVAN MEUBLES DE TOURISME ****

L'endroit est calme, le gîte est joli mais peu pratique:manquent patères dans la salle de bain et dans les chambres,vaisselle insuffisante pour 4, pas d'essoreuse à salade .La table aurait méritée une nappe (saleté incrustée dans les lattes)Les lits 190X90 avec couettes trop petites, pas adaptées pour des adultes ni pour l'hiver.Les serviettes sont très très rêchesDe plus, on a dû a appelé le propriétaire le 31/12 à 20H (il n'a répondu qu'au 3ème appel)car on n'arrivait pas faire fonctionner le four . (pas de notice)Le chien du propriétaire a crotté sur la terrasse du gîte.Les 4 étoiles attribuées en 2015 et valables 5 ans sont elles encore d'actualité?",Trustpilot,Qualité du bien,,Haute
2026-01-08 12:33:16+00:00,1,"Annulation frauduleuse. J'ai effectué une location sur le site Abritel, le prélèvement a été effectué sur mon compte. 10 jours plus tard le propriétaire annule ma reservation et remet son logement en location 250 euros plus plus cher. Abritel ne permet pas dans ce cas de laisser un avis, a ce jour ce propriétaire peux scrupuleux est toujours ""super hote"" et noté 10/10 sur toutes les plateformes de Abritel. Il n'y a aucun moyen d'avertir les futurs clients que ce propriétaire est un escroc, et abritel protège ces comportements inadmissibles",Trustpilot,Localisation / Langue,Annulation / Réservation,Haute
2026-01-08 10:08:35+00:00,4,cite sérieux et qui règle vos problèmes rapidement moi sa fait des années que je réserve avec eux j ai eu un petit soucis c était année je les appelle il mon réglé mon problème tout de suite,Google Play,Autre,,Basse
2026-01-07 23:11:35+00:00,4,"Bien mais. Lors d’une recherche, l’on peut passer de La liste au Plan mais malheureusement le Plan et donc la carte reste blanche . Petit bug depuis plusieurs jours. Sinon c’est cool…",App Store,Bug Technique,,Basse
2026-01-07 13:39:38+00:00,4,"simple, complet, manque parfois de précision (location : logement entier mais propriétaire sur place par exemple... et ce n est pas pareil...) mais presque parfait !",Google Play,Qualité du bien,,Basse
2026-01-06 14:49:27+00:00,5,le site est bien conçu,Google Play,Autre,,Basse
2026-01-05 22:15:19+00:00,5,Pratique,Google Play,Autre,,Basse
2026-01-05 16:13:18+00:00,5,super,Google Play,Autre,,Basse
2026-01-04 18:32:33+00:00,1,i cagnotte changé the language : evething is in english but my Mother language is french !!,Google Play,Localisation / Langue,,Haute
2026-01-04 18:25:33+00:00,5,utilisé plusieurs fois jamais déçu,Google Play,Autre,,Basse
2026-01-04 17:22:07+00:00,5,Alternative intéressante à Airbnb,Google Play,Autre,,Basse
2026-01-03 23:05:11+00:00,1,"Vive le service client. J'ai réservé mes vacances il y a 2 mois,aujourd'hui ma réservation est annulée parce que la maison a été vendue...si je regarde pour réserver autre chose, il n'y a plus rien dans mon budget, j'appelle le service client, aucune compensation n'est possible et on me raccroche deux fois au nez ...Je ne sais pas quoi dire. ...je comprends la note.
Faut il réserver sur Abritel?",Trustpilot,Annulation / Réservation,Service Client,Haute
2026-01-02 22:51:51+00:00,4,"Une location très bien située, propre et bien équipée Un propriétaire attentif à votre bien être",Google Play,Qualité du bien,,Basse
2026-01-01 22:35:37+00:00,1,"it could be a good app but I can't change language, country, currency. The helpdesk can't help me. It is correct on the website but not on the app. any Idea ?",Google Play,Localisation / Langue,,Haute
2026-01-01 12:44:47+00:00,5,maison parfaite et bien chauffée. très bon sejour,Google Play,Qualité du bien,,Basse
2025-12-31 12:31:20+00:00,5,"bien , communication avec les agents abritel laborieux et stressant",Google Play,Autre,,Basse
2025-12-30 16:38:11+00:00,2,impossible de se connecter,Google Play,Bug Technique,,Haute
2025-12-30 13:56:28+00:00,1,"Annulation de la réservation le matin même, très difficile de communiquer avec Abritel.Aucune aide",Google Play,Annulation / Réservation,Service Client,Haute
2025-12-29 21:12:51+00:00,1,appli nul impossible de terminer l'inscription final,Google Play,Bug Technique,,Haute
2025-12-29 08:17:40+00:00,1,impossible de me connecter en mode proprietaire,Google Play,Bug Technique,Qualité du bien,Haute
2025-12-28 22:55:06+00:00,1,super offre mais une application et un site web simplement horrible. l'expérience de réservation est insupportable. surprenant d'avoir quelque chose d'aussi mal optimisé en 2025,Google Play,Service Client,,Haute
2025-12-27 20:55:31+00:00,1,Pas possible de mettre en euro ( dollar NZ),Google Play,Localisation / Langue,,Haute
2025-12-27 19:20:08+00:00,1,"ABRITEL EST UN SITE A FUIR , AUCUNE FIABILITÉ,AUCUNE DEONTOLOGIE , AUCUN SERIEUX DANS LEURS RESERVATIONS  , ABRITEL OU COMMENT GACHER VOS VACANCES  …. RESERVATION EFFECTUÉE  EN STATION DE  SKI POUR VACANCES DE NOEL EN FAMILLE PAIEMENT  COMPTANT ET CONFIRMATION BIEN REÇUE , ANNULATION PAR LE PROPRIÉTAIRE QUI N'ÉTAIT MÊME PAS INFORMÉ ALORS QUE JE LUI DEMANDAIS SON NUMÉRO DE TEL POUR ME RENDRE A L''APPARTEMENT. CETTE PLATEFORME EST A PROPREMENT PARLER UN SCANDALE ET DEVRAIT ÊTRE FERMÉE AU VU DE SES NÉGLIGENCES GRAVES,  SON MANQUE DE PROFESSIONNALISME ET LES DOMMAGES INCALCULABLES QU'ILS FONT SUBIR AUX VACANCIERS . JE NE PENSAIS PAS VOIR AUTANT D'AVIS EXTREMEMENT NÉGATIFS . PROPRIÉTAIRES NON INFORMÉS DES RESERVATIONS ALORS QUE LES PAIEMENTS SONT EFFECTUÉS . LES FAMILLES RESTENT DEHORS SANS AUCUNE AIDE SAUF PAR EUX-MÊMES AUTANT DIRE IMPOSSIBLE DE SE RELOGER  . ABRITEL = ASSURÉMENT VOS VACANCES FICHUES   .  ABRITEL :   A FUIR HAUTEMENT !",Trustpilot,Annulation / Réservation,Financier,Haute
2025-12-27 19:09:32+00:00,5,bon service et un site français,Google Play,Localisation / Langue,,Basse
2025-12-27 18:28:57+00:00,1,"Toujours en Anglais et monnaie en NZ. Depuis une mise à jour tout est écrit en Anglais, je n’arrive pas à changer et la monnaie est NZ…",App Store,Localisation / Langue,Bug Technique,Haute
2025-12-27 18:02:55+00:00,5,tout est réfléchi et bien organisé,Google Play,Autre,,Basse
2025-12-26 13:45:20+00:00,1,je suis désabusé,Google Play,Autre,,Haute
2025-12-26 12:57:36+00:00,5,très bon,Google Play,Autre,,Basse
2025-12-25 19:41:41+00:00,1,"la galère. Impossible de me connecter. Page figée. Quand on va sur l’aide, page blanche. Très mécontent",App Store,Bug Technique,Service Client,Haute
2025-12-23 21:47:31+00:00,5,Super séjour... cottage bien situé pour visiter Amsterdam Rotterdam et surtout La Haye magnifique. Cottage bien équipé très propre chauffage nickel en plein mois de décembre. Cadre exceptionnel. Les chiens sont les bienvenus. A refaire pour une prochaine visite.,Google Play,Autre,,Basse
2025-12-21 20:35:29+00:00,1,remboursement tous simplement impossible depuis 2 mois !! même en étant largement dans les temps sous prétexte d un bug abritel... c'est une honte ! !,Google Play,Financier,Bug Technique,Haute
2025-12-21 20:27:46+00:00,5,bien,Google Play,Autre,,Basse
2025-12-21 14:44:26+00:00,5,Bien présenté un plus pour voyager avec mon petit chien.,Google Play,Autre,,Basse
2025-12-21 11:10:24+00:00,5,toujours était satisfaite des locations...rien à dire....,Google Play,Qualité du bien,,Basse
2025-12-19 19:23:43+00:00,5,j'adore,Google Play,Autre,,Basse
2025-12-19 05:19:39+00:00,1,Support inexistant. J’essaye d’obtenir une facture. Les chats sont complètement inefficaces. Aucune possibilité de contacter un humain. Horrible,App Store,Financier,Service Client,Haute
2025-12-18 04:44:25+00:00,1,"Si vous voulez être sdf pendant vos…. Si vous voulez être sdf pendant vos vacances… passez par Abritel, vous serez comblés !!!!
Un ramassis d’incompétents et de voleurs…
Et ils répondent quoi, les branques ???",Trustpilot,Financier,,Haute
2025-12-17 12:13:43+00:00,1,A fuir. Non ergonomique et Abritel et certains hôtes ne sont pas réglés,App Store,UX / Ergonomie,Qualité du bien,Haute
2025-12-16 20:58:19+00:00,1,"Froid…. Appartement ou le chauffage est bloqué a 20 degrés dans les pièces de vie sinon tout disjoncte, pas de possibilité d'internet  qui est absent de l'appartement, 18 degrés dans les couloirs, WC , programmes de télévision réduits car il n'y a  pas la  fibre....
Plus que déçue, première et dernière expérience Abritel, bien plus satisfaite de Airbnb",Trustpilot,Bug Technique,Qualité du bien,Haute
2025-12-16 17:26:47+00:00,1,"réservation d'un logement de vacances à La Palmyre. J'ai dû avancer une caution de 2213,10 € à prélever en cas de dégradation ou de défaut de propreté. A mon arrivée il n'y  pas de constat d'état des lieux les carrelages présentaient des salissures dans les angles et surtout la terrasse et l'escalier qui menait au jardin était encombré de feuilles. Au départ malgré un nettoyage soigné l'agence ABRITEL a décrété que le ménage était mal fait et a retenu 213,10 € sur la caution",Trustpilot,Financier,UX / Ergonomie,Haute
2025-12-14 22:41:14+00:00,4,super,Google Play,Autre,,Basse
2025-12-14 22:25:20+00:00,1,partage par un proche d'un voyage. obliger d'installer l'application et de créé un compte. Encore une pompe a donnée,Google Play,UX / Ergonomie,,Haute
2025-12-14 16:24:27+00:00,1,"Publicité mensongère. Un studio soit disant exceptionnel à Conflans Sainte Honorine.Radiateur d'appoint.Placard dangereux avec une porte à glace hors rail.Frigidaire fermant mal,plein de givre.Douche qui fuit.Lavabo bouché.Volet roulant cassé.Équipement cuisine sale et de bric et de broc.Seuls point positifs:un bon lit et des N espresso à disposition.Jolie décoration",Trustpilot,Qualité du bien,,Haute
2025-12-13 21:01:19+00:00,1,forcer les gens à télécharger votre application pour ouvrir un lien c'est une honte,Google Play,UX / Ergonomie,,Haute
2025-12-12 07:03:02+00:00,1,"A fuir. A fuir, reservation le 22 octobre pr la semaine du nouvel an, hier reception d un mail avec annulation de ma reservation, aucunes infos du pourquoi? Et quand j appel abritel , petsonne tres desagreable me raccroche au nez et aucunes recherches de leur part pour me trouver un logement de substitution sachant que yous les cours de ski et le materiel est resevé ...je ne trouve plus aucunes location a moins du double du prix initial!!!sympa le cadeau de noel de mes 2 enfants de 4 ans!!!!!!!!!!!je n ai jms eu ube telle expetience ailleurs",Trustpilot,Annulation / Réservation,Financier,Haute
2025-12-10 17:06:27+00:00,1,"Quand on te partage un lien d'une annonce, on clique dessus, ça ouvre l'appli mais ça 'pus ame' e pas à l'annonce en question mais sur la page d'accueil. Pas terrible",Google Play,Localisation / Langue,Qualité du bien,Haute
2025-12-10 15:34:17+00:00,1,"Quelle honte!Logement chauffé par un petit radiateur…. Logement chauffé par un petit radiateur d'appoint.Odeurs pestilentielles.Placard dangereux,avec une porte hors rail.Douche qui fuit.Lavabo bouché.Frigidaire fermant mal.Plaque de cuisson usagée.Vaisselle et batterie mal nettoyées.Volet roulant en panne.Pas de fiche explicative ni d'état des lieux.435 euros pour ce logis déglingué!!!",Trustpilot,Localisation / Langue,Bug Technique,Haute
2025-12-10 11:59:31+00:00,1,"Service client catastrophique. Bonjour
L'hôte n'ayant pas donné les instructions pour entrer dans le logement nous avons donc du réserver un autre hébergement.
Suite à plusieurs mails de relance, aucun retour et suite donnée
C'est une vraie catastrophe 
Je ne passerai plus par abritel",Trustpilot,Service Client,Qualité du bien,Haute
2025-12-09 16:54:39+00:00,5,super prix,Google Play,Financier,,Basse
2025-12-09 03:54:21+00:00,1,"à éviter ne fonctionne pas du tout. service client catastrophique, frais élevés.",Google Play,Financier,Bug Technique,Haute
2025-12-08 09:10:24+00:00,1,"Très déçus du service Abritel/VRBO.. Très déçus du service Abritel/VRBO.
Nous avons réservé un logement pour un séjour familial à Rome depuis plusieurs mois. Quelques semaines avant notre départ, l’hôte a annulé, ce qui aurait dû déclencher automatiquement la garantie “Réservation en toute confiance” censée nous protéger.

Malgré plusieurs appels au service client, aucune action concrète n’a été prise pour nous reloger. On nous demande de réserver nous-mêmes un nouveau logement alors que les prix ont explosé, alors que de nombreux clients témoignent n’avoir jamais été remboursés de la différence.
Nous ne pouvons pas avancer un seul centime et attendons qu’Abritel respecte ses engagements en prenant en charge un logement équivalent ou supérieur, comme prévu dans leurs propres conditions.

Nous n’osons même pas imaginer ce qui se serait passé si l’annulation avait eu lieu le jour de notre arrivée à Rome, avec 3 enfants en bas âge et aucune solution sur place.
Un stress totalement inutile que nous n’aurions jamais dû subir.

Nous espérons qu’Abritel prendra enfin ses responsabilités et interviendra pour résoudre cette situation dans les plus brefs délais",Trustpilot,Localisation / Langue,Annulation / Réservation,Haute
2025-12-07 14:19:45+00:00,5,application très bien conçu tout est très bien expliqué.,Google Play,Autre,,Basse
2025-12-06 12:13:02+00:00,1,"Abritel ne vérifie pas l'identité des…. Abritel ne vérifie pas l'identité des hôtes.
A fuir suite arnaque à la carte bancaire lors d'une réservation d'un mobile home",Trustpilot,Financier,Qualité du bien,Haute
2025-12-06 11:30:26+00:00,1,L'appartement soit disant idyllique…. L'appartement soit disant idyllique était en réalité situé au dessus d une piscine désaffectée mais pas vide donc infestation de moustiques énormes pour se faire dévorer ça commence bien ..sur place accueilli par une dame qui réclame tout de suite un surplus pour provisionner l électricité à payer en espèces bien sur ...nous sommes restés 2 jours ...impossible de se faire rembourser...apparemment abritel fonctionne avec des expats de l est et c est quasi du racket à l arrivée j ai fourni rib etc jamais de remboursement éviter abritel ça c 'est sur et l espagne,Trustpilot,Financier,Qualité du bien,Haute
2025-12-05 17:24:42+00:00,1,"A FUIR !. La sélection des locations proposées n'est pas fiable. 
A 2 reprises Abritel a annulé notre réservation tardivement. Cet organisme n'est pas sérieux, on ne peut pas lui faire confiance.
A fuir !",Trustpilot,Annulation / Réservation,Qualité du bien,Haute
2025-12-04 22:40:33+00:00,1,"Annonce mensongère! annulation gratuite! Et 59 euros de frais. J’ai annulée ma réservation 3 mois avant la date. Quand j’ai réservé c’était bien mis partout « annulation gratuite », avant d’annuler, c’est bien que je recevrais l’intégralité de mon paiement. Finalement, ils ont pris 59euros de frais! C’est honteux, annonce mensongère. J’ai toutes les photos à l’appui comme quoi c’était gratuit",Trustpilot,Localisation / Langue,Annulation / Réservation,Haute
2025-12-04 15:59:20+00:00,5,bon site,Google Play,Autre,,Basse
2025-12-03 21:06:24+00:00,5,Nous sommes toujours satisfaits des locations vacances,Google Play,Qualité du bien,,Basse
2025-12-03 18:26:46+00:00,1,aucune aide en cas de problème,Google Play,Service Client,,Haute
2025-12-03 11:01:40+00:00,2,les filtres choisi ne reste jamais,Google Play,UX / Ergonomie,,Moyenne
2025-12-02 20:39:32+00:00,1,"Inadmissible - impossible d'annuler une réservation pour Mars 2026!!!. Inadmissible ! Je ne parviens pas à annuler ma réservation pour Londres en mars prochain. Le propriétaire me renvoie vers le site anglais VRBO, le site VRBO me renvoie vers le propriétaire !!! C'est inadmissible !!! Service nullissime !",Trustpilot,Localisation / Langue,Annulation / Réservation,Haute
2025-12-02 12:15:34+00:00,1,"Abritel annulation séjour arnaque !?. Suite à réservation séjour au mois de novembre 2025 je souscris une assurance annulation 'Europ assistance).Mon père la veille du départ a un problème de santé empêchant tout déplacement.
Je contacte le 19 novembre abritel, pour annuler, qui me me précise que je respectait pas la politique d'annulation qui m'obligeait à annuler avant octobre ??!! De qui se moque t-on ??§§Je contacte l'assurance, une usine à gaz pour annuler. 
Cette réservation ABRITEL SERA MA DERNIERE",Trustpilot,Annulation / Réservation,Financier,Haute
2025-12-02 09:23:57+00:00,1,Nous avons réservé une jolie villa à la…. Nous avons réservé une jolie villa à la Martinique dimanche à 14h30 Après renseignements pris auprès d’une amie martiniquaise nous avons annulé notre réservation à 16h (le lieu n’était pas idéal avec des petites filles quant à la proximité des plages de sable blanc) Abritel a pris en compte notre annulation en stipulant que 30% de la somme serait retenue. Depuis nous nous battons pour récupérer 1200 euros ! De plus nous avons vu la villa à 500 euros de moins sur un site local !!! À fuir absolument Abritel ne fait aucun effort pour nous aider ou nous défendre ! Scandaleux,Trustpilot,Localisation / Langue,Annulation / Réservation,Haute
2025-12-02 09:14:52+00:00,5,super 👍,Google Play,Autre,,Basse
2025-12-01 21:27:55+00:00,5,cool,Google Play,Autre,,Basse
2025-11-30 16:22:09+00:00,5,tres bien,Google Play,Autre,,Basse
2025-11-30 12:01:43+00:00,1,"Service client très lent, aucune assistance. Hote débutant sur Abritel, je paramètre mon annonce avec le calendrier (paramétrage très compliqué) et sur la toute première demande de réservation que j'annule immédiatement car je  souhaitait faire des location de 7 jours et pas 3, le site suspend mon annonce pour 7 jours. Impossible d'expliquer la situation et aucune réponse à mes demandes: Il existe de nombreuse autres plateformes de location à privilégier",Trustpilot,Annulation / Réservation,Bug Technique,Haute
2025-11-29 11:05:41+00:00,5,super,Google Play,Autre,,Basse
2025-11-29 07:54:44+00:00,5,c'est très beau !,Google Play,Autre,,Basse
2025-11-27 20:02:53+00:00,1,"Réservation effectuée et débitée. Réservation effectuée et débitée, et on me demande d’annuler moi même la réservation car le propriétaire ne veut plus louer. Appel à abritel qui me recrédite mais aucune aide apportée ni aucune solution proposée",Trustpilot,Annulation / Réservation,Service Client,Haute
2025-11-27 19:15:54+00:00,5,très intuitif et de bonnes propositions,Google Play,UX / Ergonomie,,Basse
2025-11-27 12:57:17+00:00,4,C'est la 1ère fois que j'utilise ce site...,Google Play,Autre,,Basse
2025-11-27 12:15:05+00:00,5,très bien merci.,Google Play,Autre,,Basse
2025-11-27 09:25:23+00:00,1,"Application ne marche tout simplement pas. reçu un lien Abritel car un proche souhaitait transférer les détails d'un futur voyage. force à installer l'application, et impossible de consulter les détails de ce voyage.",Google Play,Bug Technique,UX / Ergonomie,Haute
2025-11-27 07:54:27+00:00,5,facile d'utilisation et de nombreuses offres,Google Play,Autre,,Basse
2025-11-26 18:45:26+00:00,1,"nul peu de réservations et n'ai jamais reçu votre paiement de votre part , suite aux peu de réservations que j'ai eu",Google Play,Financier,,Haute
2025-11-25 22:49:45+00:00,1,"Arnaque !. Comment une plateforme comme Abritel peut-elle être si mal gérée et faire la promotion de ses services partout alors qu’elle ne parvient pas à rembourser une réservation annulée ? Je suis toujours en attente d’un remboursement de 15899 € suite à une annulation de réservation par leurs systèmes. Je suis profondément choqué et outré, bien au-delà de la perte d’une somme d’argent aussi importante. Honte à Abritel",Trustpilot,Annulation / Réservation,Financier,Haute
2025-11-25 14:17:54+00:00,5,"Navigation aisée, site ergonomique.",Google Play,UX / Ergonomie,,Basse
2025-11-24 22:24:09+00:00,5,Super 👍,Google Play,Autre,,Basse
2025-11-24 12:54:28+00:00,1,"A fuir en tant qu'hôte. bonjour , je ne suis pas un vacancier mais un hote . Une seule expérience vécue et très décue - un mois pour être payée pour cette 1re réservation (et la dernière) : le service client contacté pas agréable du tout : me dit que c'est ainsi pour une première reservation c'est le délai minimum : sauf que ce n'est pas du tout inscrit dans les conditions de la plateforme...il est question de 5 à 7 jours et non pas du délai rallongé pour une première expérience...aucun moyen d'arrangement pas d'empathie..un service client sourd aux remarques et à ma colère...communication coupée en cours de communication ! incroyable ! je ne recommande pas du tout cette plate forme de réservation en tant qu'hote et bien évidemment si je voyage ça ne sera jamais par Abritel",Trustpilot,Service Client,Qualité du bien,Haute
2025-11-24 10:07:56+00:00,1,"🚨FUYEZ Abritel. ⚠️FUYEZ Abritel : erreur de calcul de leur part pour le paiement de la location 
je contacte ce "" site "" hier , devait me recontacter ce matin 1ere h pour après correction de leur calcul je puisse faire ma réservation........ finalement c'est moi qui les rappelle car je m'aperçois que les dates auxquelles je voulais réserver ne sont  plus dispo !!!!!
   Ne donne aucune solution et même s'en moque littéralement ( j'espère enregistrements à l'appui pour preuves ).

Je n'ai pu mettre 0 mais j'espère que mon avis servira à ne pas se faire prendre pour des idiots .

Mesdames, Messieurs les hôtes , vos biens sont entre de bien mauvaises mains .
    Je suis en attente d'un appel de responsable de cet organisme qui n'ayons pas peur de le dire devrait ne plus exister !!!!!!!
  J'ose mettre la référence du bien 2593340 et j'assume.

      EVITEZ Abritel 😡😡😡
Pour ma part , du temps de perdu , pour d'autres malheureusement, de l'argent : c'est grave !",Trustpilot,Financier,Bug Technique,Haute
2025-11-24 10:00:24+00:00,1,Abritel a annulé ma réservation 5 jours…. Abritel a annulé ma réservation 5 jours avant mon départ sans aucune raison énoncée. Sur un voyage avec 9h de vol. Je les poursuis en justice dès aujourd'hui,Trustpilot,Annulation / Réservation,,Haute
2025-11-23 20:25:54+00:00,1,Libre mais pas libre. On réserve des locations au final ce n'est pas disponibles du coup ça ne donne plus envie de passer par ce site,Trustpilot,Qualité du bien,,Haute
